feature	importance
LYMPH_NODES_EXAMINED_POSITIVE	1.361548e-02
AGE_AT_DIAGNOSIS	1.083434e-02
NPI	6.118501e-03
CDK3_methy	5.006046e-03
DRD1_mrna	4.933495e-03
IFNK_mrna	4.534462e-03
ENC1_mrna	4.522370e-03
LGI1_mrna	4.183797e-03
LAD1_methy	3.736397e-03
IGFN1_mrna	3.325272e-03
MINA_methy	3.125756e-03
OSBPL10_methy	2.974607e-03
TUMOR_SIZE	2.902056e-03
BREAST_SURGERY_BREAST CONSERVING	2.442563e-03
POU4F3_methy	2.430472e-03
NRXN1_mrna	2.345828e-03
SELENBP1_mrna	2.315599e-03
SENP5_mrna	2.103990e-03
LIN28A_methy	2.079807e-03
VSX2_methy	2.055623e-03
ADAMTS7_methy	2.043531e-03
NKAIN3_mrna	2.019347e-03
CD59_mrna	2.007255e-03
ILKAP_methy	1.995163e-03
PLAAT2_mrna	1.934704e-03
LMTK3_mrna	1.934704e-03
F12_mrna	1.886336e-03
GTF3C5_mrna	1.850060e-03
LARP1_mrna	1.850060e-03
EZR_mrna	1.765417e-03
PPIL3_mrna	1.704958e-03
BREAST_SURGERY_MASTECTOMY	1.656590e-03
IFI27L2_mrna	1.656590e-03
KIAA2013_methy	1.608222e-03
MIS12_mrna	1.584039e-03
LSR_mrna	1.571947e-03
GRIN2B_methy	1.559855e-03
NUP210L_mrna	1.511487e-03
SULT4A1_methy	1.511487e-03
HACD3_mrna	1.511487e-03
CFAP44_mrna	1.451028e-03
JMJD1C-AS1_mrna	1.426844e-03
SMPD1_mrna	1.426844e-03
KRT8_mrna	1.414752e-03
USP46_mrna	1.402660e-03
SH3BGRL2_mrna	1.269649e-03
C1QTNF9B_mrna	1.269649e-03
IL17B_mrna	1.257557e-03
ZNF33A_mrna	1.124547e-03
RDH16_mrna	1.112455e-03
IPO7_methy	1.112455e-03
TUMOR_STAGE	1.088271e-03
ARHGAP26_mrna	1.088271e-03
S100P_mrna	1.051995e-03
MMP3_mrna	1.027811e-03
HTR1B_methy	1.027811e-03
ADRA2B_mrna	1.015719e-03
AIRE_methy	1.003628e-03
SLC7A2_mrna	9.673519e-04
TOMM70_mrna	9.552600e-04
UMODL1_mrna	9.552600e-04
TOP1P2_methy	9.431681e-04
SLC6A3_mrna	9.310762e-04
EXT1_mrna	9.189843e-04
ANKRD35_mrna	9.068924e-04
PRR15L_mrna	9.068924e-04
KAT8_methy	8.585248e-04
CDCP2_methy	8.585248e-04
ADCY3_mrna	8.222491e-04
CATSPER3_mrna	8.222491e-04
TMEM185B_mrna	8.101572e-04
CARD11_methy	7.738815e-04
SLC46A1_mrna	7.738815e-04
MOXD1_methy	7.617896e-04
CHEMOTHERAPY_NO	7.617896e-04
PBX1_mrna	6.771463e-04
SLC39A11_mrna	6.408706e-04
DUS4L_mrna	6.408706e-04
ANGPT2_mrna	6.408706e-04
BCAS1_mrna	6.287787e-04
COX7B2_mrna	6.166868e-04
ADAMTS7_mrna	6.166868e-04
SHB_mrna	6.166868e-04
KLF15_mrna	6.166868e-04
OSBPL10_mrna	5.683192e-04
THREEGENE_ER+/HER2- High Prolif	5.562273e-04
LINC00473_methy	5.562273e-04
CLCC1_mrna	5.562273e-04
TOX2_methy	5.441354e-04
KIAA1958_mrna	5.441354e-04
ER_STATUS_Positive	5.320435e-04
SLC17A5_mrna	5.199516e-04
BBX_mrna	5.199516e-04
GPI_mrna	5.199516e-04
NKX2-2_mrna	5.078597e-04
ZFP28_methy	4.836759e-04
MYBPC1_mrna	4.715840e-04
ER_STATUS_Negative	4.715840e-04
PNMA8B_mrna	4.715840e-04
CELLULARITY_Moderate	4.594921e-04
DCAF4L1_mrna	4.594921e-04
MARCHF2_mrna	4.594921e-04
FAM222A_mrna	4.474002e-04
GLYATL2_mrna	4.353083e-04
QPCT_mrna	4.232164e-04
ELMO2_mrna	4.111245e-04
MAL_methy	3.990326e-04
DCAF4_mrna	3.869407e-04
LIFR_mrna	3.869407e-04
CCDC74B_mrna	3.869407e-04
CLAUDIN_SUBTYPE_claudin-low	3.748489e-04
GLA_mrna	3.627570e-04
RADIO_THERAPY_YES	3.627570e-04
KCTD1_mrna	3.627570e-04
VANGL1_mrna	3.627570e-04
LRRC3_mrna	3.627570e-04
NEFH_mrna	3.506651e-04
LATERALITY_Left	3.506651e-04
HES1_mrna	3.385732e-04
HOXD8_mrna	3.385732e-04
ATP2C2_mrna	3.385732e-04
RANBP6_mrna	3.143894e-04
AGA_mrna	2.781137e-04
ZBED1_mrna	2.660218e-04
LINC00477_mrna	2.660218e-04
ZNF114_mrna	2.539299e-04
KCNN2_mrna	2.418380e-04
EPN3_mrna	2.176542e-04
CHEMOTHERAPY_YES	2.055623e-04
IRS1_mrna	2.055623e-04
FXYD4_mrna	2.055623e-04
